03/08/2004 10:07:39 p.m. Se conecto con ip:200.85.108.57
03/08/2004 10:11:00 p.m. Transporto a tkv hacia Mapa1 X:50 Y:50
03/08/2004 10:14:10 p.m. /INVISIBLE
03/08/2004 10:15:13 p.m. /INVISIBLE
03/08/2004 10:15:44 p.m. /IRA DiegoEzequiel Mapa:37 X:79 Y:49
03/08/2004 10:22:50 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:50 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:50 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:50 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:50 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:50 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:50 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:54 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:54 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:54 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:54 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:54 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:54 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:55 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:55 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:55 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:55 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:25:37 p.m. /IRA DiegoEzequiel Mapa:1 X:63 Y:65
